0,total_value
개념,-0.5892857142857142
개당,-0.21428571428571425
개더,0.37662337662337664
개도,-0.19999999999999996
개똥,-0.8787878787878789
개맛,-0.3333333333333333
개면,0.0
개무,-0.5238095238095237
개미,-0.8
개발,-0.16666666666666669
개방,0.09090909090909088
개별,0.0
개봉,-0.4820415879017013
개뿔,-0.9782608695652173
개사,0.09302325581395349
개선,-0.33211009174311923
개성,0.5
개수,-0.14465408805031443
개시,-0.38709677419354843
개아,-0.4545454545454546
개안,0.3170731707317073
개업,0.36000000000000004
개였,-0.4375
개오,-0.6363636363636365
개옴,-0.8571428571428572
개와,-0.625
개요,-0.032258064516129004
개운,0.34939759036144574
개월,0.07304116865869853
개이,-0.125
개인,-0.03523035230352306
개인차,-0.4382022471910112
개입,0.0
개정,-0.21212121212121215
개조,-0.7142857142857142
개주,-0.6521739130434783
개중,-0.8181818181818181
개집,0.125
개짱,-0.8181818181818181
개취,0.0625
개털,-0.368421052631579
개통,-0.050000000000000044
개판,-0.9445983379501386
객,-0.23076923076923078
객관,-0.6363636363636365
갠,0.4548672566371681
갠데,-0.5652173913043479
갤,0.16763005780346818
갤러리,0.8333333333333333
갤럭시,0.46938775510204084
갭,-0.4444444444444444
갯,-0.2454090150250417
갰,-0.10526315789473689
갱,-0.6507936507936507
갸,0.4615384615384615
걔,-0.6842105263157894
거,-0.11715275861011443
거거,0.16666666666666669
거기,-0.2820069204152249
거긴,-0.3333333333333333
거꾸로,-0.5384615384615385
거나,-0.41935483870967744
거니,-0.22222222222222227
거대,-0.14285714285714285
거든요,0.2727272727272727
거들,-0.5
거들떠,-0.5454545454545454
거뜬,0.7
거뜬히,0.6551724137931034
거랑,-0.2692307692307692
거래,-0.6260162601626016
거래처,-0.7058823529411764
거려,-0.6475409836065573
거렸,0.032258064516129004
거르,-0.5555555555555556
거름,-0.5555555555555556
거름망,-0.023255813953488413
거리,-0.3476112026359144
거림,-0.631578947368421
거립니다,-0.8311688311688312
거무스름,-0.8666666666666667
거무튀튀,-0.8461538461538463
거뭇,-0.588235294117647
거뭇거뭇,-0.803921568627451
거미줄,-0.5384615384615385
거부,-0.06131078224101483
거북,-0.21999999999999997
거북목,0.28571428571428575
거북이,-0.8333333333333333
거슬려,-0.607843137254902
거슬려서,-0.15151515151515155
거슬렸,0.5384615384615385
거슬리,-0.13898305084745766
거슬릴,0.26086956521739135
거슬림,-0.7391304347826086
거슬립니다,-0.7872340425531914
거시,-0.6923076923076923
거시기,-0.7083333333333333
거실,0.40025740025740025
거요,0.47826086956521735
거운,-0.3333333333333333
거울,-0.09112709832134297
거원,-0.7333333333333334
거위,-0.4545454545454546
거의,-0.32124874118831825
거이,-0.411764705882353
거저,-0.09090909090909088
거절,-0.9672131147540983
거제,-0.14285714285714285
거져,-0.5294117647058822
